"name","id","standard_qty","gloss_qty","poster_qty","total"
"GameStop",4011,13,11,0,24
"SpartanNash",4501,15,11,0,26
"Masco",4441,3,24,0,27
"Walgreens Boots Alliance",1181,8,24,0,32
"ADP",3471,11,27,0,38
"Kroger",1161,6,32,0,38
"Altria Group",2481,7,35,0,42
"Core-Mark Holding",4161,2,40,0,42
"ADP",3471,42,1,0,43
"Monsanto",2881,24,20,0,44
"DISH Network",2861,4,41,0,45
"Land O'Lakes",3141,1,44,0,45
"American Family Insurance Group",4311,6,41,0,47
"Global Partners",3751,19,28,0,47
"Whole Foods Market",2801,9,38,0,47
"TJX",1881,2,47,0,49
"Owens & Minor",3901,1,49,0,50
"Ameriprise Financial",3311,10,42,0,52
"Farmers Insurance Exchange",3261,7,48,0,55
"Kellogg",3061,6,51,0,57
"Nucor",2691,6,51,0,57
"CST Brands",3981,45,17,0,62
"Amgen",2291,44,19,0,63
"New York Life Insurance",1601,9,54,0,63
"Xcel Energy",3561,42,23,0,65
"American Family Insurance Group",4311,8,62,0,70
"DuPont",2001,17,54,0,71
"Farmers Insurance Exchange",3261,3,68,0,71
"Mondelez International",1931,42,29,0,71
"Kinder Morgan",2971,33,39,0,72
"Colgate-Palmolive",2731,4,69,0,73
"Navistar International",3801,18,55,0,73
"Pacific Life",4251,19,56,0,75
"J.P. Morgan Chase",1221,14,62,0,76
"Monsanto",2881,28,50,0,78
"Liberty Interactive",3831,14,71,0,85
"TJX",1881,27,58,0,85
"Amgen",2291,50,37,0,87
"Huntsman",3761,38,49,0,87
"Cisco Systems",1531,24,64,0,88
"Occidental Petroleum",3241,80,8,0,88
"Walgreens Boots Alliance",1181,49,41,0,90
"Kroger",1161,19,73,0,92
"AT&T",1091,12,83,0,95
"Tyson Foods",1651,90,5,0,95
"Cognizant Technology Solutions",3291,69,29,0,98
"EOG Resources",4211,88,12,0,100
"EOG Resources",4211,67,34,0,101
"Apple",1021,64,38,0,102
"Cisco Systems",1531,33,69,0,102
"IBM",1301,84,18,0,102
"United Continental Holdings",1791,32,70,0,102
"Western Refining",3881,49,53,0,102
"Philip Morris International",2051,25,78,0,103
"Caterpillar",1581,77,27,0,104
"Bristol-Myers Squibb",2671,95,10,0,105
"Paccar",2461,105,3,0,108
"AT&T",1091,35,75,0,110
"Kohl's",2441,67,43,0,110
"PNC Financial Services Group",2701,97,14,0,111
"Thermo Fisher Scientific",2631,27,84,0,111
"Paccar",2461,7,105,0,112
"Community Health Systems",2241,106,7,0,113
"Baker Hughes",2771,85,33,0,118
"PVH",4391,62,56,0,118
"Stanley Black & Decker",3551,59,59,0,118
"Walgreens Boots Alliance",1181,46,72,0,118
"Capital One Financial",2111,97,22,0,119
"Computer Sciences",3321,104,15,0,119
"Synnex",3111,93,27,0,120
"Best Buy",1701,116,5,0,121
"Occidental Petroleum",3241,113,8,0,121
"3M",1921,96,26,0,122
"Occidental Petroleum",3241,95,29,0,124
"PNC Financial Services Group",2701,112,13,0,125
"Best Buy",1701,122,4,0,126
"AT&T",1091,122,5,0,127
"PNC Financial Services Group",2701,107,20,0,127
"World Fuel Services",1911,96,31,0,127
"Bristol-Myers Squibb",2671,109,19,0,128
"Massachusetts Mutual Life Insurance",1751,127,1,0,128
"Capital One Financial",2111,92,37,0,129
"EOG Resources",4211,103,27,0,130
"Newmont Mining",4481,31,99,0,130
"Walmart",1001,85,47,0,132
"Best Buy",1701,20,113,0,133
"Halliburton",2161,103,30,0,133
"Synnex",3111,92,41,0,133
"VF",3301,112,22,0,134
"HD Supply Holdings",4191,96,39,0,135
"Computer Sciences",3321,56,80,0,136
"PepsiCo",1431,99,37,0,136
"Capital One Financial",2111,110,27,0,137
"Walmart",1001,101,36,0,137
"Bristol-Myers Squibb",2671,98,40,0,138
"J.P. Morgan Chase",1221,91,47,0,138
"Hilton Worldwide Holdings",3531,129,10,0,139
"Ingram Micro",1631,91,48,0,139
"Marathon Petroleum",1411,1,138,0,139
"Tyson Foods",1651,128,11,0,139
"FirstEnergy",2871,25,115,0,140
"Liberty Mutual Insurance Group",1721,113,31,0,144
"Chesapeake Energy",3221,95,50,0,145
"International Paper",2261,107,39,0,146
"Lear",2531,142,4,0,146
"NextEra Energy",2621,141,5,0,146
"TIAA",1811,22,124,0,146
"Tyson Foods",1651,143,3,0,146
"Whirlpool",2331,136,12,0,148
"EOG Resources",4211,115,35,0,150
"International Paper",2261,68,82,0,150
"PBF Energy",3161,147,3,0,150
"Abbott Laboratories",2371,102,49,0,151
"Best Buy",1701,144,8,0,152
"Exelon",1941,134,18,0,152
"Best Buy",1701,147,7,0,154
"Owens & Minor",3901,148,6,0,154
"PG&E Corp.",2651,101,53,0,154
"IBM",1301,117,38,0,155
"Illinois Tool Works",3101,119,36,0,155
"Tyson Foods",1651,150,5,0,155
"AT&T",1091,146,10,0,156
"Best Buy",1701,147,9,0,156
"Microsoft",1241,132,24,0,156
"AT&T",1091,149,8,0,157
"DaVita HealthCare Partners",2991,152,5,0,157
"Exelon",1941,150,7,0,157
"PG&E Corp.",2651,89,68,0,157
"Tyson Foods",1651,144,13,0,157
"Hilton Worldwide Holdings",3531,135,24,0,159
"Exelon",1941,139,21,0,160
"PBF Energy",3161,152,8,0,160
"PNC Financial Services Group",2701,35,125,0,160
"Tyson Foods",1651,149,12,0,161
"Whirlpool",2331,156,5,0,161
"Lear",2531,151,11,0,162
"Tyson Foods",1651,153,9,0,162
"Computer Sciences",3321,153,10,0,163
"Computer Sciences",3321,152,12,0,164
"Paccar",2461,152,12,0,164
"Hilton Worldwide Holdings",3531,139,26,0,165
"Veritiv",4221,160,5,0,165
"PBF Energy",3161,147,19,0,166
"Paccar",2461,147,20,0,167
"Caterpillar",1581,150,19,0,169
"Owens & Minor",3901,161,8,0,169
"Tyson Foods",1651,146,24,0,170
"Computer Sciences",3321,63,109,0,172
"Best Buy",1701,149,24,0,173
"NextEra Energy",2621,164,9,0,173
"AT&T",1091,162,13,0,175
"General Electric",1101,160,16,0,176
"Tyson Foods",1651,167,9,0,176
"Walmart",1001,144,32,0,176
"Tyson Foods",1651,149,28,0,177
"Tyson Foods",1651,162,15,0,177
"Microsoft",1241,165,13,0,178
"J.P. Morgan Chase",1221,75,106,0,181
"Corning",4121,177,7,0,184
"Exelon",1941,163,23,0,186
"Travelers Cos.",2041,151,35,0,186
"AT&T",1091,163,25,0,188
"Lear",2531,35,154,0,189
"Best Buy",1701,166,29,0,195
"Sherwin-Williams",3521,183,12,0,195
"US Foods Holding",2211,118,80,0,198
"Phillips 66",1291,180,23,0,203
"DaVita HealthCare Partners",2991,193,11,0,204
"Computer Sciences",3321,167,38,0,205
"Paccar",2461,185,20,0,205
"Leucadia National",3411,150,57,0,207
"Mosaic",4151,197,14,0,211
"Boeing",1231,195,19,0,214
"Tyson Foods",1651,199,16,0,215
"Leucadia National",3411,211,11,0,222
"Anadarko Petroleum",4231,212,22,0,234
"WestRock",3501,239,10,0,249
"Dominion Resources",3421,237,14,0,251
"Hilton Worldwide Holdings",3531,143,108,0,251
"Computer Sciences",3321,160,92,0,252
"Costco",1141,195,64,0,259
"CHS",1831,228,39,0,267
"Freddie Mac",1421,240,32,0,272
"Microsoft",1241,259,13,0,272
"Tyson Foods",1651,170,105,0,275
"Leucadia National",3411,256,28,0,284
